index	name	phase	scope	blocking	environments	command	status	exit_code	started_at	ended_at	duration_sec	log_file
00	Git worktree check	phase0	environment	yes	linux,windows	git rev-parse --is-inside-work-tree	pass	0	2026-04-22T20:11:29.398Z	2026-04-22T20:11:29.454Z	0.06	runtime/audit/2026-04-22-enterprise-deep-audit/logs/00_git_rev_parse_is_inside_work_tree.log
01	Node/NPM versions	phase0	environment	yes	linux,windows	node -v && npm -v	pass	0	2026-04-22T20:11:29.455Z	2026-04-22T20:11:29.857Z	0.4	runtime/audit/2026-04-22-enterprise-deep-audit/logs/01_node_v_npm_v.log
02	Cargo version	phase0	environment	yes	linux,windows	cargo --version	pass	0	2026-04-22T20:11:29.857Z	2026-04-22T20:11:29.988Z	0.13	runtime/audit/2026-04-22-enterprise-deep-audit/logs/02_cargo_version.log
03	PHP version	phase0	environment	yes	php-enabled	php -v	fail	1	2026-04-22T20:11:29.989Z	2026-04-22T20:11:30.066Z	0.08	runtime/audit/2026-04-22-enterprise-deep-audit/logs/03_php_v.log
21	Astro CLI preflight	phase0	website	yes	website	npm --prefix website exec -- astro --version	pass	0	2026-04-22T20:11:30.066Z	2026-04-22T20:11:31.093Z	1.03	runtime/audit/2026-04-22-enterprise-deep-audit/logs/21_npm_prefix_website_exec_astro_version.log
04	TypeScript gate	phase0	desktop-core	yes	linux,windows	npx tsc --noEmit	pass	0	2026-04-22T20:11:31.093Z	2026-04-22T20:11:35.954Z	4.86	runtime/audit/2026-04-22-enterprise-deep-audit/logs/04_npx_tsc_noemit.log
05	ESLint gate	phase0	desktop-core	yes	linux,windows	npx eslint .	fail	1	2026-04-22T20:11:35.954Z	2026-04-22T20:11:49.996Z	14.04	runtime/audit/2026-04-22-enterprise-deep-audit/logs/05_npx_eslint.log
06	Unit/Integration tests	phase3	desktop-core	yes	linux,windows	npm test	pass	0	2026-04-22T20:11:49.996Z	2026-04-22T20:12:03.425Z	13.43	runtime/audit/2026-04-22-enterprise-deep-audit/logs/06_npm_test.log
11	Cargo check	phase3	src-tauri	yes	linux,windows	cargo check --manifest-path "D:/Development/Rheolab/src-tauri/Cargo.toml"	pass	0	2026-04-22T20:12:03.425Z	2026-04-22T20:14:16.999Z	133.57	runtime/audit/2026-04-22-enterprise-deep-audit/logs/11_cargo_check_manifest_path_d_development_rheolab_src_tauri_cargo_toml.log
18	License-server PHP lint	phase5	license-server	yes	php-enabled	node scripts/audit/php-lint-license-server.js	fail	127	2026-04-22T20:14:16.999Z	2026-04-22T20:14:17.055Z	0.06	runtime/audit/2026-04-22-enterprise-deep-audit/logs/18_node_scripts_audit_php_lint_license_server_js.log
19	Website build	phase5	website	yes	website	npm --prefix website ci && npm --prefix website run build	pass	0	2026-04-22T20:14:17.055Z	2026-04-22T20:14:29.388Z	12.33	runtime/audit/2026-04-22-enterprise-deep-audit/logs/19_npm_prefix_website_ci_npm_prefix_website_run_build.log
20	Release dry-run (allow unsigned)	phase5	release	no	windows	npm run release:prepare -- --channel beta --dry-run --allow-unsigned --skip-qa	pass	0	2026-04-22T20:14:29.388Z	2026-04-22T20:14:29.821Z	0.43	runtime/audit/2026-04-22-enterprise-deep-audit/logs/20_npm_run_release_prepare_channel_beta_dry_run_allow_unsigned_skip_qa.log
22	npm audit high	phase5	security	yes	linux,windows	npm audit --audit-level=high	pass	0	2026-04-22T20:14:29.821Z	2026-04-22T20:14:31.461Z	1.64	runtime/audit/2026-04-22-enterprise-deep-audit/logs/22_npm_audit_audit_level_high.log
